iter	Passed	Remaining
0	7	7179
1	10	5152
2	13	4463
3	16	4210
4	21	4223
5	24	4058
6	27	3913
7	30	3804
8	34	3752
9	36	3655
10	39	3573
11	42	3502
12	45	3441
13	48	3426
14	52	3478
15	55	3430
16	58	3391
17	61	3353
18	64	3332
19	68	3358
20	71	3330
21	74	3304
22	77	3273
23	79	3248
24	85	3320
25	87	3296
26	90	3270
27	93	3244
28	97	3265
29	100	3264
30	104	3256
31	108	3285
32	111	3268
33	115	3279
34	118	3258
35	121	3240
36	123	3220
37	126	3202
38	131	3229
39	133	3214
40	136	3198
41	139	3183
42	142	3173
43	146	3189
44	149	3175
45	152	3161
46	155	3149
47	158	3134
48	162	3145
49	165	3135
50	167	3124
51	170	3110
52	173	3098
53	177	3115
54	180	3105
55	183	3094
56	186	3083
57	189	3072
58	193	3092
59	196	3080
60	199	3072
61	202	3062
62	205	3050
63	209	3061
64	212	3060
65	216	3060
66	220	3065
67	223	3063
68	226	3061
69	230	3066
70	233	3057
71	236	3047
72	241	3062
73	245	3069
74	248	3061
75	251	3058
76	254	3055
77	258	3056
78	261	3053
79	266	3065
80	269	3056
81	273	3064
82	277	3071
83	281	3066
84	284	3057
85	287	3054
86	290	3050
87	294	3050
88	298	3059
89	302	3055
90	305	3055
91	309	3055
92	315	3075
93	318	3073
94	322	3070
95	327	3088
96	334	3111
97	344	3170
98	352	3212
99	359	3239
100	365	3257
101	375	3305
102	380	3317
103	390	3361
104	396	3377
105	400	3379
106	404	3376
107	408	3370
108	413	3377
109	417	3376
110	420	3370
111	425	3377
112	430	3376
113	475	3692
114	483	3719
115	491	3745
116	498	3765
117	517	3866
118	523	3877
119	536	3935
120	543	3944
121	573	4130
122	586	4183
123	615	4350
124	635	4446
125	728	5050
126	736	5060
127	746	5087
128	754	5096
129	765	5122
130	870	5772
131	878	5777
132	891	5810
133	898	5805
134	911	5840
135	916	5820
136	920	5799
137	928	5802
138	933	5783
139	962	5914
140	966	5891
141	971	5869
142	976	5854
143	981	5832
144	986	5814
145	996	5827
146	1002	5819
147	1007	5802
148	1011	5775
149	1014	5749
150	1020	5740
151	1024	5714
152	1027	5690
153	1031	5664
154	1036	5653
155	1040	5628
156	1043	5603
157	1046	5576
158	1049	5550
159	1054	5535
160	1058	5518
161	1061	5492
162	1068	5487
163	1075	5484
164	1080	5465
165	1090	5480
166	1094	5458
167	1102	5457
168	1106	5442
169	1121	5477
170	1130	5481
171	1136	5472
172	1140	5454
173	1149	5454
174	1153	5440
175	1158	5423
176	1166	5424
177	1193	5510
178	1205	5529
